Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.30688,-1,-1,Login,None,-1
2,63.85685,0,0,Start,None,-1
3,69.99015,0,0,None,Right,1
4,72.6568,0,0,None,Right,1
5,73.32345,0,0,None,Right,2
6,73.8902,0,0,None,Right,2
7,74.37362,0,0,None,Right,2
8,74.79011,0,0,None,Right,2
9,74.80676,0,0,Success,None,-1
10,77.3234,0,1,Start,None,-1
11,79.40687,0,1,None,Right,1
12,79.80679,0,1,None,Right,1
13,80.20695,0,1,None,Right,1
14,80.65678,0,1,None,Right,1
15,81.15681,0,1,None,Right,1
16,83.10674,0,1,None,Right,1
17,84.27338,0,1,None,Left,1
18,84.69006,0,1,None,Left,1
19,85.00681,0,1,None,Left,1
20,85.27339,0,1,None,Left,1
21,85.52347,0,1,None,Left,1
22,87.02348,0,1,None,Down,1
23,88.24004,0,1,None,Up,1
24,88.49004,0,1,None,Up,1
25,88.7901,0,1,None,Right,1
26,89.10678,0,1,None,Right,1
27,89.3734,0,1,None,Right,1
28,89.7068,0,1,None,Right,1
29,90.1068,0,1,None,Right,1
30,90.45675,0,1,None,Down,1
31,91.94008,0,1,None,Left,1
32,92.20676,0,1,None,Left,1
33,93.6734,0,1,None,Left,1
34,94.00677,0,1,None,Left,1
35,94.42339,0,1,None,Left,1
36,95.82344,0,1,None,Down,1
37,96.75678,0,1,None,Left,1
38,97.02339,0,1,None,Left,1
39,97.77346,0,1,None,Right,1
40,98.04008,0,1,None,Right,1
41,99.95674,0,1,None,Down,0
42,100.2067,0,1,None,Down,0
43,100.4568,0,1,None,Right,1
44,100.7734,0,1,None,Right,1
45,101.6567,0,1,None,Up,1
46,102.0235,0,1,None,Up,1
47,102.3067,0,1,None,Right,1
48,102.6067,0,1,None,Right,1
49,102.8567,0,1,None,Right,1
50,103.3234,0,1,None,Down,1
51,103.7733,0,1,None,Left,1
52,104.1067,0,1,None,Left,1
53,104.3734,0,1,None,Left,1
54,104.6234,0,1,None,Left,1
55,105.0069,0,1,None,Left,1
56,112.59,0,1,None,Right,1
57,112.8401,0,1,None,Right,1
58,115.1233,0,1,None,Up,1
59,115.3734,0,1,None,Up,0
60,115.7567,0,1,None,Down,1
61,116.4067,0,1,None,Left,1
62,116.6567,0,1,None,Left,1
63,121.5567,0,1,None,Right,1
64,121.8233,0,1,None,Right,1
65,123.2567,0,1,None,Right,1
66,123.6734,0,1,None,Right,1
67,123.9735,0,1,None,Right,1
68,127.5234,0,1,None,Right,1
69,128.19,0,1,None,Left,1
70,128.6066,0,1,None,Left,1
71,128.94,0,1,None,Left,1
72,129.19,0,1,None,Left,1
73,129.4567,0,1,None,Left,1
74,129.9233,0,1,None,Left,1
75,130.1899,0,1,None,Left,1
76,131.4734,0,1,None,Left,1
77,133.2567,0,1,None,Up,1
78,133.8067,0,1,None,Right,1
79,134.7234,0,1,None,Down,1
80,136.2899,0,1,None,Right,1
81,136.54,0,1,None,Right,1
82,136.9233,0,1,None,Right,1
83,138.2899,0,1,None,Left,1
84,148.3733,0,1,None,Right,1
85,148.9733,0,1,None,Left,1
86,152.0732,0,1,None,Right,1
87,152.3233,0,1,None,Right,1
88,152.8066,0,1,None,Left,1
89,153.2568,0,1,None,Right,1
90,153.5233,0,1,None,Right,1
91,154.2232,0,1,None,Right,1
92,155.1232,0,1,None,Right,1
93,159.0233,0,1,None,Left,1
94,159.2899,0,1,None,Left,1
95,159.5567,0,1,None,Left,1
96,159.8566,0,1,None,Left,1
97,177.3067,0,1,None,Left,1
98,178.5733,0,1,None,Down,1
99,178.8233,0,1,None,Down,0
100,180.0066,0,1,None,Down,0
101,180.2566,0,1,None,Down,0
102,180.5066,0,1,None,Down,0
103,183.3232,0,1,None,Right,1
104,183.5733,0,1,None,Right,1
105,184.9566,0,1,None,Left,1
106,185.5066,0,1,None,Up,1
107,192.6066,0,1,None,Up,1
108,193.3398,0,1,None,Down,1
109,198.2066,0,1,None,Left,1
110,198.5565,0,1,None,Left,1
111,198.8066,0,1,None,Left,1
112,199.4232,0,1,None,Up,1
113,200.2066,0,1,None,Down,1
114,200.4732,0,1,None,Down,1
115,201.4565,0,1,None,Right,1
116,201.7066,0,1,None,Right,1
117,202.6898,0,1,None,Up,1
118,203.0898,0,1,None,Right,1
119,204.2064,0,1,None,Right,1
120,204.8065,0,1,None,Right,1
121,205.0731,0,1,None,Right,1
122,205.6898,0,1,None,Left,1
123,205.9399,0,1,None,Left,1
124,206.2065,0,1,None,Left,1
125,210.8565,0,1,None,Right,1
126,211.1066,0,1,None,Right,1
127,211.3732,0,1,None,Right,1
128,211.6232,0,1,None,Right,1
129,211.8898,0,1,None,Left,1
130,212.3898,0,1,None,Down,1
131,212.6399,0,1,None,Down,0
132,212.9566,0,1,None,Left,1
133,213.2066,0,1,None,Left,1
134,213.5065,0,1,None,Right,1
135,213.7566,0,1,None,Right,1
136,214.1897,0,1,None,Down,0
137,214.4399,0,1,None,Down,0
138,214.7064,0,1,None,Left,1
139,215.0065,0,1,None,Right,1
140,215.6232,0,1,None,Right,1
141,216.7565,0,1,None,Left,1
142,217.3065,0,1,None,Right,1
143,217.5566,0,1,None,Right,1
144,218.123,0,1,None,Down,0
145,218.4065,0,1,None,Up,1
146,218.8898,0,1,None,Left,1
147,219.2231,0,1,None,Left,1
148,220.4564,0,1,None,Right,1
149,220.9397,0,1,None,Right,1
150,221.2065,0,1,None,Up,1
151,221.5565,0,1,None,Up,0
152,221.8065,0,1,None,Left,1
153,222.0731,0,1,None,Left,1
154,222.423,0,1,None,Down,1
155,223.8565,0,1,None,Down,1
156,224.6897,0,1,None,Left,1
157,225.0898,0,1,None,Left,1
158,225.5232,0,1,None,Left,1
159,226.7064,0,1,None,Up,1
160,227.1065,0,1,None,Up,1
161,227.9231,0,1,None,Left,1
162,228.1731,0,1,None,Left,1
163,229.5564,0,1,None,Left,1
164,229.9565,0,1,None,Left,1
165,230.2065,0,1,None,Left,1
166,230.5064,0,1,None,Down,1
167,235.1565,0,1,None,Right,1
168,235.4897,0,1,None,Right,1
169,235.8398,0,1,None,Right,1
170,236.1732,0,1,None,Right,1
171,236.5231,0,1,None,Right,1
172,241.723,0,1,None,Up,1
173,242.8065,0,1,None,Down,1
174,243.0731,0,1,None,Down,1
175,246.7397,0,1,None,Up,1
176,250.8494,0,1,None,Down,1
177,251.3822,0,1,None,Up,1
178,251.6486,0,1,None,Up,1
179,252.2979,0,1,None,Down,1
180,259.5407,0,1,None,Right,1
181,259.8071,0,1,None,Right,1
182,260.0735,0,1,None,Right,1
183,260.3399,0,1,None,Right,1
184,260.6065,0,1,None,Right,1
185,260.873,0,1,None,Left,1
186,261.1398,0,1,None,Left,1
187,261.5731,0,1,None,Left,1
188,261.8398,0,1,None,Left,1
189,262.1064,0,1,None,Left,1
190,283.173,0,1,None,Up,1
191,283.423,0,1,None,Up,0
192,283.8398,0,1,None,Up,0
193,284.1064,0,1,None,Up,0
194,284.3896,0,1,None,Down,1
195,284.6397,0,1,None,Down,1
196,287.9897,0,1,None,Up,1
197,299.5396,0,1,None,Left,1
198,299.8896,0,1,None,Right,1
199,303.8396,0,1,None,Up,1
200,304.2896,0,1,None,Down,1
201,305.8062,0,1,None,Right,1
202,306.1063,0,1,None,Right,1
203,306.5396,0,1,None,Left,1
204,306.8062,0,1,None,Left,1
205,314.9395,0,1,None,Down,1
206,315.1895,0,1,None,Right,1
207,315.7395,0,1,None,Right,1
208,315.9895,0,1,None,Right,1
209,316.2562,0,1,None,Down,0
210,316.5062,0,1,None,Down,0
211,316.8062,0,1,None,Left,1
212,317.0562,0,1,None,Left,1
213,317.3228,0,1,None,Left,1
214,318.7228,0,1,None,Up,1
215,321.0895,0,1,None,Down,1
216,322.0228,0,1,None,Up,1
217,329.1562,0,1,None,Right,1
218,329.4228,0,1,None,Right,1
219,329.6729,0,1,None,Down,1
220,329.9395,0,1,None,Down,0
221,330.1895,0,1,None,Right,1
222,330.6228,0,1,None,Down,0
223,330.8728,0,1,None,Down,0
224,331.2061,0,1,None,Down,0
225,331.4561,0,1,None,Down,0
226,331.7061,0,1,None,Down,0
227,331.9727,0,1,None,Left,1
228,332.2228,0,1,None,Left,1
229,332.4728,0,1,None,Down,0
230,332.7394,0,1,None,Down,0
231,333.0061,0,1,None,Left,1
232,333.3561,0,1,None,Up,1
233,339.2728,0,1,None,Up,1
234,339.5228,0,1,None,Up,0
235,339.8061,0,1,None,Down,1
236,346.9895,0,1,None,Up,1
237,347.4561,0,1,None,Down,1
238,347.7227,0,1,None,Left,1
239,347.9728,0,1,None,Left,1
240,348.2394,0,1,None,Left,1
241,348.4894,0,1,None,Left,1
242,348.8561,0,1,None,Down,1
243,349.4727,0,1,None,Left,1
244,349.7227,0,1,None,Left,1
245,350.356,0,1,None,Right,1
246,351.1061,0,1,None,Left,1
247,351.4061,0,1,None,Left,1
248,351.6561,0,1,None,Down,1
249,352.1395,0,1,None,Right,1
250,352.4061,0,1,None,Right,0
251,352.6561,0,1,None,Down,1
252,353.1395,0,1,None,Right,2
253,353.4394,0,1,None,Down,1
254,354.0061,0,1,None,Up,1
255,354.2561,0,1,None,Up,0
256,354.806,0,1,None,Right,3
257,355.0561,0,1,None,Right,3
258,355.3394,0,1,None,Right,3
259,355.6061,0,1,None,Right,3
260,355.8727,0,1,None,Right,3
261,356.1394,0,1,None,Right,4
262,357.006,0,1,None,Right,5
263,358.3561,0,1,None,Down,1
264,358.8561,0,1,None,Right,1
265,359.1061,0,1,None,Right,1
266,359.5059,0,1,None,Right,1
267,359.8727,0,1,None,Right,1
268,360.856,0,1,None,Left,1
269,361.1227,0,1,None,Left,1
270,361.3727,0,1,None,Left,1
271,361.6227,0,1,None,Left,1
272,361.8893,0,1,None,Left,1
273,362.1393,0,1,None,Left,1
274,362.3894,0,1,None,Left,1
275,362.6395,0,1,None,Left,1
276,362.9061,0,1,None,Left,1
277,363.1727,0,1,None,Left,1
278,363.4227,0,1,None,Left,1
279,363.6727,0,1,None,Left,1
280,364.156,0,1,None,Up,1
281,364.4227,0,1,None,Up,1
282,364.6893,0,1,None,Up,1
283,364.9727,0,1,None,Right,1
284,365.2227,0,1,None,Right,1
285,365.4893,0,1,None,Right,1
286,365.7394,0,1,None,Up,1
287,365.9894,0,1,None,Up,1
288,366.256,0,1,None,Right,1
289,366.5227,0,1,None,Down,1
290,366.8227,0,1,None,Right,1
291,367.0727,0,1,None,Right,1
292,367.0894,0,1,Success,None,-1
293,375.0726,0,2,Start,None,-1
294,379.856,0,2,None,Left,1
295,380.456,0,2,None,Left,2
296,381.1393,0,2,None,Left,2
297,381.5726,0,2,None,Up,1
298,381.9227,0,2,None,Left,1
299,382.3393,0,2,None,Down,2
300,383.2227,0,2,None,Down,2
301,383.6726,0,2,None,Down,2
302,384.606,0,2,None,Down,2
303,385.6726,0,2,None,Left,1
304,386.0727,0,2,None,Down,1
305,386.456,0,2,None,Right,2
306,386.7227,0,2,None,Right,2
307,386.9893,0,2,None,Right,2
308,387.256,0,2,None,Right,2
309,387.506,0,2,None,Right,2
310,387.7726,0,2,None,Right,2
311,388.0226,0,2,None,Right,2
312,388.2893,0,2,None,Right,2
313,388.5559,0,2,None,Right,2
314,389.256,0,2,None,Right,2
315,389.5226,0,2,None,Right,2
316,389.7726,0,2,None,Right,2
317,390.1893,0,2,None,Right,2
318,390.706,0,2,None,Down,1
319,390.9726,0,2,None,Right,1
320,391.2559,0,2,None,Up,2
321,391.5226,0,2,None,Up,2
322,391.7726,0,2,None,Up,2
323,392.0726,0,2,None,Up,2
324,392.406,0,2,None,Right,1
325,392.7059,0,2,None,Up,1
326,393.0392,0,2,None,Left,2
327,393.2893,0,2,None,Left,2
328,393.5393,0,2,None,Left,2
329,394.3226,0,2,None,Right,1
330,395.0893,0,2,None,Down,1
331,395.4893,0,2,None,Right,1
332,395.8893,0,2,None,Down,1
333,396.1559,0,2,None,Down,1
334,396.4226,0,2,None,Down,1
335,396.6892,0,2,None,Left,1
336,396.9392,0,2,None,Left,1
337,397.1893,0,2,None,Left,1
338,397.4559,0,2,None,Left,1
339,397.7059,0,2,None,Left,1
340,397.9559,0,2,None,Left,1
341,398.2059,0,2,None,Left,1
342,398.4559,0,2,None,Left,1
343,398.7226,0,2,None,Left,1
344,398.9893,0,2,None,Left,1
345,399.2393,0,2,None,Left,1
346,399.5226,0,2,None,Left,1
347,399.8894,0,2,None,Up,1
348,400.1559,0,2,None,Right,4
349,400.5559,0,2,None,Right,4
350,400.806,0,2,None,Right,4
351,401.0726,0,2,None,Right,4
352,401.4727,0,2,None,Right,4
353,401.8559,0,2,None,Down,1
354,402.1393,0,2,None,Right,1
355,402.406,0,2,None,Right,1
356,402.6727,0,2,None,Right,1
357,402.9393,0,2,None,Right,1
358,403.2059,0,2,None,Right,1
359,403.456,0,2,None,Right,1
360,403.706,0,2,None,Right,1
361,403.9726,0,2,None,Right,1
362,404.2392,0,2,None,Up,1
363,404.6727,0,2,None,Up,1
364,404.9393,0,2,None,Up,1
365,405.2059,0,2,None,Left,1
366,405.456,0,2,None,Left,1
367,405.7226,0,2,None,Left,1
368,405.9727,0,2,None,Left,1
369,406.3893,0,2,None,Up,2
370,406.4059,0,2,Success,None,-1
371,410.906,0,3,Start,None,-1
372,415.2225,0,3,None,Right,1
373,415.9726,0,3,None,Left,1
374,420.6559,0,3,None,Left,1
375,420.9225,0,3,None,Left,1
376,421.2559,0,3,None,Left,1
377,421.8559,0,3,None,Left,1
378,422.2726,0,3,None,Down,1
379,422.5226,0,3,None,Down,1
380,422.7892,0,3,None,Down,1
381,423.5892,0,3,None,Right,1
382,423.8558,0,3,None,Right,4
383,424.1059,0,3,None,Right,4
384,424.3725,0,3,None,Right,4
385,424.6226,0,3,None,Right,4
386,425.0225,0,3,None,Right,4
387,425.2892,0,3,None,Left,1
388,425.606,0,3,None,Left,1
389,425.8725,0,3,None,Left,1
390,426.1725,0,3,None,Left,1
391,426.6725,0,3,None,Left,1
392,426.9391,0,3,None,Up,1
393,427.2892,0,3,None,Up,1
394,427.6559,0,3,None,Up,1
395,427.9391,0,3,None,Right,1
396,428.1892,0,3,None,Right,1
397,428.4392,0,3,None,Right,1
398,428.7058,0,3,None,Right,1
399,428.9558,0,3,None,Right,1
400,429.2058,0,3,None,Right,2
401,429.4559,0,3,None,Right,2
402,429.9225,0,3,None,Right,2
403,431.4225,0,3,None,Right,2
404,431.4391,0,3,Success,None,-1
405,445.9724,1,0,Start,None,-1
406,453.8224,1,0,None,Up,1
407,456.6891,1,0,None,Up,1
408,457.2224,1,0,None,Right,1
409,457.5723,1,0,None,Right,1
410,457.9724,1,0,None,Up,1
411,458.4225,1,0,None,Right,1
412,459.0891,1,0,None,Right,1
413,459.3724,1,0,None,Right,1
414,459.639,1,0,None,Right,1
415,459.8891,1,0,None,Right,1
416,460.3058,1,0,None,Right,1
417,463.2057,1,0,None,Left,1
418,463.4557,1,0,None,Left,1
419,463.7224,1,0,None,Left,1
420,463.9891,1,0,None,Left,1
421,464.439,1,0,None,Left,1
422,464.8557,1,0,None,Down,1
423,465.3057,1,0,None,Down,1
424,465.7058,1,0,None,Right,1
425,466.0224,1,0,None,Down,1
426,466.4724,1,0,None,Down,1
427,466.7225,1,0,None,Right,2
428,467.6729,1,0,None,Up,1
429,467.9392,1,0,None,Left,1
430,468.2057,1,0,None,Left,0
431,468.4557,1,0,None,Up,1
432,468.7558,1,0,None,Left,1
433,469.0223,1,0,None,Up,1
434,469.2724,1,0,None,Up,1
435,469.6391,1,0,None,Right,1
436,469.9058,1,0,None,Right,1
437,470.2557,1,0,None,Right,1
438,470.5724,1,0,None,Right,1
439,471.4557,1,0,None,Right,1
440,472.1058,1,0,None,Left,1
441,473.1223,1,0,None,Right,1
442,473.5056,1,0,None,Down,1
443,473.7561,1,0,None,Down,1
444,474.0225,1,0,None,Down,1
445,474.289,1,0,None,Down,1
446,474.6557,1,0,None,Left,3
447,474.9057,1,0,None,Left,3
448,477.4058,1,0,None,Right,1
449,477.789,1,0,None,Down,1
450,478.3724,1,0,None,Down,1
451,478.8224,1,0,None,Left,1
452,479.3556,1,0,None,Left,1
453,479.7723,1,0,None,Up,1
454,480.2725,1,0,None,Left,1
455,480.5724,1,0,None,Up,2
456,481.2223,1,0,None,Up,2
457,481.6058,1,0,None,Right,1
458,481.9391,1,0,None,Up,0
459,482.9057,1,0,None,Left,1
460,483.5389,1,0,None,Right,1
461,484.1724,1,0,None,Right,0
462,484.5558,1,0,None,Down,2
463,485.2056,1,0,None,Left,1
464,485.8057,1,0,None,Right,1
465,486.0557,1,0,None,Right,1
466,486.4724,1,0,None,Right,1
467,487.1223,1,0,None,Right,1
468,487.5889,1,0,None,Up,1
469,487.8556,1,0,None,Up,1
470,488.1057,1,0,None,Up,1
471,488.389,1,0,None,Left,1
472,488.639,1,0,None,Left,1
473,488.9056,1,0,None,Left,1
474,489.1557,1,0,None,Up,1
475,489.5223,1,0,None,Left,1
476,489.8057,1,0,None,Left,1
477,490.2056,1,0,None,Down,1
478,490.6223,1,0,None,Down,1
479,492.6723,1,0,None,Up,1
480,494.5724,1,0,Undo,None,1
481,495.0389,1,0,Undo,None,1
482,497.0223,1,0,Redo,None,1
483,498.4557,1,0,Redo,None,1
484,499.8556,1,0,None,Right,0
485,500.3056,1,0,None,Down,1
486,500.8056,1,0,None,Right,0
487,502.5056,1,0,None,Down,0
488,504.2722,1,0,None,Left,1
489,504.5223,1,0,None,Left,1
490,505.1057,1,0,None,Right,1
491,505.4057,1,0,None,Right,1
492,505.8723,1,0,None,Up,1
493,506.6723,1,0,Undo,None,1
494,506.9889,1,0,Undo,None,1
495,507.4723,1,0,Undo,None,1
496,507.9723,1,0,Undo,None,1
497,508.5389,1,0,Undo,None,1
498,509.0389,1,0,Undo,None,1
499,509.4223,1,0,Undo,None,1
500,509.7556,1,0,Undo,None,1
501,512.5557,1,0,Redo,None,1
502,512.9056,1,0,Redo,None,1
503,513.189,1,0,Redo,None,1
504,513.4889,1,0,Redo,None,1
505,513.8556,1,0,Redo,None,1
506,514.1056,1,0,Redo,None,1
507,514.3723,1,0,Redo,None,1
508,514.6223,1,0,Redo,None,1
509,514.8723,1,0,Redo,None,0
510,515.2223,1,0,Redo,None,0
511,515.4723,1,0,Redo,None,0
512,515.7556,1,0,Redo,None,0
513,516.0222,1,0,Redo,None,0
514,516.2723,1,0,Redo,None,0
515,516.6057,1,0,None,Left,1
516,516.9722,1,0,None,Right,1
517,517.2556,1,0,None,Down,1
518,517.5557,1,0,None,Right,0
519,518.0722,1,0,None,Up,1
520,518.3222,1,0,None,Up,1
521,518.5722,1,0,None,Right,1
522,518.9556,1,0,None,Down,0
523,519.3057,1,0,None,Down,0
524,519.5557,1,0,None,Right,1
525,519.8222,1,0,None,Right,1
526,520.0722,1,0,None,Down,1
527,520.4222,1,0,None,Left,1
528,520.6722,1,0,None,Left,0
529,520.9223,1,0,None,Down,0
530,521.3055,1,0,None,Left,0
531,521.5555,1,0,None,Left,0
532,521.8055,1,0,None,Right,1
533,522.1223,1,0,None,Down,1
534,522.3723,1,0,None,Down,0
535,522.6389,1,0,None,Left,0
536,522.8889,1,0,None,Right,0
537,523.1555,1,0,None,Down,0
538,523.4055,1,0,None,Down,0
539,523.6888,1,0,None,Up,1
540,523.9388,1,0,None,Up,1
541,524.2224,1,0,None,Right,1
542,524.6556,1,0,None,Right,1
543,524.9222,1,0,None,Down,1
544,525.1722,1,0,None,Down,1
545,525.4222,1,0,None,Down,1
546,525.6888,1,0,None,Down,1
547,526.0056,1,0,None,Left,1
548,526.3889,1,0,None,Left,1
549,526.6389,1,0,None,Left,1
550,526.8889,1,0,None,Left,1
551,528.0555,1,0,None,Right,1
552,528.8723,1,0,None,Left,1
553,529.2556,1,0,None,Down,1
