Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,33.82355,-1,-1,Login,None,-1
2,69.32361,0,0,Start,None,-1
3,97.64011,0,0,Pause,None,-1
4,99.29017,0,0,Resume,None,-1
5,100.5736,0,0,None,Right,1
6,101.0235,0,0,None,Right,1
7,102.0569,0,0,None,Left,1
8,102.4069,0,0,None,Right,1
9,102.7902,0,0,None,Right,2
10,103.0402,0,0,None,Right,2
11,103.6236,0,0,None,Right,2
12,104.1069,0,0,None,Right,2
13,104.1236,0,0,Success,None,-1
14,107.3568,0,1,Start,None,-1
15,112.3068,0,1,None,Up,1
16,112.6069,0,1,None,Up,0
17,113.2069,0,1,None,Right,1
18,113.5401,0,1,None,Right,1
19,113.8734,0,1,None,Right,1
20,114.3235,0,1,None,Right,1
21,114.7735,0,1,None,Right,1
22,115.2568,0,1,None,Right,1
23,115.6068,0,1,None,Down,1
24,115.8568,0,1,None,Down,1
25,116.6401,0,1,None,Up,1
26,117.1235,0,1,None,Left,1
27,117.3902,0,1,None,Left,1
28,117.6568,0,1,None,Left,1
29,117.9069,0,1,None,Left,1
30,118.1735,0,1,None,Left,1
31,118.5735,0,1,None,Right,1
32,118.9901,0,1,None,Right,1
33,119.6402,0,1,None,Left,1
34,120.0735,0,1,None,Down,1
35,121.4067,0,1,None,Left,1
36,121.6569,0,1,None,Left,1
37,122.4568,0,1,None,Left,1
38,131.9234,0,1,None,Right,1
39,132.19,0,1,None,Right,1
40,133.7568,0,1,None,Right,1
41,134.2234,0,1,None,Right,1
42,134.4735,0,1,None,Right,1
43,135.2735,0,1,None,Left,1
44,135.6401,0,1,None,Left,1
45,138.3901,0,1,Redo,None,0
46,138.9401,0,1,Redo,None,0
47,139.9067,0,1,Redo,None,0
48,140.2401,0,1,Redo,None,0
49,140.5401,0,1,Redo,None,0
50,142.0234,0,1,Pause,None,-1
51,143.2735,0,1,Restart,None,-1
52,148.9234,0,1,None,Left,1
53,149.3901,0,1,None,Down,1
54,149.9901,0,1,None,Down,0
55,150.2402,0,1,None,Down,0
56,150.5068,0,1,None,Right,1
57,150.7568,0,1,None,Right,1
58,151.2568,0,1,None,Right,1
59,151.6735,0,1,None,Right,1
60,152.6567,0,1,None,Up,1
61,152.9068,0,1,None,Up,1
62,153.1568,0,1,None,Up,0
63,153.6734,0,1,None,Up,0
64,153.99,0,1,None,Right,1
65,154.2401,0,1,None,Right,1
66,154.5067,0,1,None,Right,1
67,154.8901,0,1,None,Down,1
68,155.4568,0,1,None,Right,1
69,155.7234,0,1,None,Right,1
70,155.9735,0,1,None,Right,1
71,156.5734,0,1,None,Down,1
72,157.0067,0,1,None,Left,1
73,157.2733,0,1,None,Left,1
74,157.5235,0,1,None,Left,1
75,157.79,0,1,None,Left,1
76,158.0401,0,1,None,Right,1
77,158.2901,0,1,None,Right,1
78,158.5401,0,1,None,Right,1
79,158.8068,0,1,None,Right,1
80,159.0568,0,1,None,Down,1
81,159.4568,0,1,None,Down,1
82,159.8067,0,1,None,Left,2
83,160.0567,0,1,None,Left,3
84,160.59,0,1,None,Left,3
85,161.1234,0,1,None,Left,3
86,161.8567,0,1,None,Left,3
87,162.5734,0,1,None,Left,3
88,167.4567,0,1,None,Left,4
89,167.7234,0,1,None,Left,5
90,168.5067,0,1,None,Left,5
91,169.09,0,1,None,Left,5
92,171.0567,0,1,None,Right,1
93,171.4567,0,1,None,Up,0
94,171.7068,0,1,None,Up,0
95,171.9733,0,1,None,Right,1
96,172.2234,0,1,None,Right,1
97,172.49,0,1,None,Right,1
98,172.7567,0,1,None,Right,1
99,173.0067,0,1,None,Right,1
100,173.2567,0,1,None,Right,1
101,173.5068,0,1,None,Right,1
102,173.7733,0,1,None,Right,1
103,174.0233,0,1,None,Right,1
104,174.2733,0,1,None,Right,1
105,174.9733,0,1,None,Up,1
106,175.3068,0,1,None,Up,1
107,175.64,0,1,None,Left,1
108,175.9067,0,1,None,Left,1
109,176.1733,0,1,None,Left,1
110,176.44,0,1,None,Left,1
111,176.7066,0,1,None,Left,1
112,176.9733,0,1,None,Left,1
113,177.2566,0,1,None,Left,1
114,177.2733,0,1,Success,None,-1
115,179.9066,0,2,Start,None,-1
116,185.4066,0,2,None,Up,1
117,185.7733,0,2,None,Right,1
118,186.0399,0,2,None,Right,1
119,186.29,0,2,None,Right,2
120,186.5567,0,2,Defeat,None,-1
121,187.99,0,2,Restart,None,-1
122,191.89,0,2,None,Left,1
123,193.1733,0,2,None,Left,2
124,193.4398,0,2,None,Left,2
125,194.8566,0,2,None,Up,1
126,195.1066,0,2,None,Up,1
127,195.5233,0,2,None,Left,1
128,196.1234,0,2,None,Down,1
129,196.5733,0,2,None,Down,2
130,197.0566,0,2,None,Up,1
131,197.5566,0,2,None,Right,1
132,197.9566,0,2,None,Down,1
133,198.2067,0,2,None,Down,1
134,198.4568,0,2,None,Down,1
135,198.7233,0,2,None,Down,1
136,198.9899,0,2,None,Down,1
137,199.2399,0,2,None,Down,1
138,199.5066,0,2,None,Right,1
139,199.7566,0,2,None,Right,1
140,200.0066,0,2,None,Right,1
141,200.2566,0,2,None,Right,1
142,200.5066,0,2,None,Right,1
143,200.7567,0,2,None,Right,1
144,201.0067,0,2,None,Right,1
145,201.2568,0,2,None,Right,1
146,201.5233,0,2,None,Right,1
147,201.7733,0,2,None,Right,1
148,202.0233,0,2,None,Right,1
149,202.2733,0,2,None,Right,1
150,202.8233,0,2,None,Up,1
151,203.0899,0,2,None,Up,1
152,203.4233,0,2,None,Up,1
153,203.7234,0,2,None,Up,1
154,204.1067,0,2,None,Up,1
155,204.44,0,2,None,Left,1
156,204.9068,0,2,None,Left,1
157,205.29,0,2,None,Left,1
158,205.3066,0,2,Success,None,-1
159,207.7566,0,3,Start,None,-1
160,214.19,0,3,None,Right,1
161,214.44,0,3,None,Right,1
162,215.1233,0,3,None,Right,2
163,215.3898,0,3,None,Right,2
164,215.64,0,3,None,Right,2
165,215.9067,0,3,None,Right,2
166,215.9234,0,3,Success,None,-1
167,228.7399,1,0,Start,None,-1
168,240.6398,1,0,None,Right,1
169,241.2897,1,0,None,Up,1
170,241.5398,1,0,None,Up,1
171,241.7898,1,0,None,Up,1
172,242.1731,1,0,None,Right,1
173,242.5232,1,0,None,Right,1
174,242.8232,1,0,None,Right,1
175,243.1232,1,0,None,Right,1
176,243.3733,1,0,None,Right,1
177,243.7399,1,0,None,Right,1
178,245.4066,1,0,None,Right,1
179,246.2731,1,0,None,Down,1
180,246.5399,1,0,None,Down,1
181,247.1232,1,0,None,Down,1
182,247.4232,1,0,None,Down,1
183,247.9065,1,0,None,Left,2
184,248.4232,1,0,None,Left,3
185,249.0066,1,0,None,Left,0
186,249.6732,1,0,None,Up,0
187,250.1898,1,0,None,Right,1
188,250.6732,1,0,None,Down,1
189,251.0064,1,0,None,Down,1
190,251.4232,1,0,None,Left,1
191,251.8231,1,0,None,Left,1
192,252.4731,1,0,None,Up,1
193,252.7232,1,0,None,Up,2
194,254.2231,1,0,None,Down,1
195,254.6065,1,0,None,Left,1
196,255.0732,1,0,None,Up,2
197,255.3731,1,0,None,Up,2
198,256.7066,1,0,None,Down,1
199,256.9898,1,0,None,Down,1
200,257.2731,1,0,None,Right,1
201,257.7899,1,0,None,Up,1
202,258.1065,1,0,None,Right,1
203,259.0898,1,0,None,Up,0
204,259.3564,1,0,None,Right,1
205,259.9065,1,0,None,Up,1
206,260.523,1,0,None,Right,1
207,260.7731,1,0,None,Right,1
208,261.0732,1,0,None,Up,1
209,261.3398,1,0,None,Up,1
210,261.9065,1,0,None,Up,1
211,262.7565,1,0,None,Up,1
212,263.6231,1,0,None,Left,1
213,264.1897,1,0,None,Right,1
214,264.4398,1,0,None,Right,1
215,265.1232,1,0,None,Down,1
216,265.7731,1,0,None,Right,1
217,266.1731,1,0,None,Right,1
218,266.4565,1,0,None,Right,1
219,266.7565,1,0,None,Right,1
220,267.2232,1,0,None,Down,1
221,267.4897,1,0,None,Down,4
222,267.7399,1,0,None,Down,4
223,269.2731,1,0,None,Left,1
224,269.5563,1,0,None,Left,1
225,269.8064,1,0,None,Left,1
226,270.1563,1,0,None,Left,1
227,270.4565,1,0,None,Left,1
228,270.7897,1,0,None,Left,1
229,271.1564,1,0,None,Left,1
230,271.5064,1,0,None,Down,1
231,271.8396,1,0,None,Left,1
232,272.1397,1,0,None,Left,1
233,272.4064,1,0,None,Left,1
234,272.873,1,0,None,Up,1
235,273.2064,1,0,None,Up,0
236,274.2064,1,0,None,Right,0
237,274.7563,1,0,None,Down,1
238,275.073,1,0,None,Right,1
239,275.5398,1,0,None,Up,0
240,275.8064,1,0,None,Up,0
241,276.5064,1,0,None,Left,1
242,276.9396,1,0,None,Down,1
243,277.3896,1,0,None,Right,1
244,277.9398,1,0,None,Down,1
245,278.223,1,0,None,Down,1
246,278.5564,1,0,None,Left,1
247,278.823,1,0,None,Left,1
248,279.073,1,0,None,Left,1
249,279.323,1,0,None,Left,1
250,279.573,1,0,None,Left,1
251,279.8397,1,0,None,Up,1
252,280.0897,1,0,None,Up,1
253,280.3563,1,0,None,Up,1
254,280.6064,1,0,None,Up,1
255,280.873,1,0,None,Up,1
256,281.123,1,0,None,Up,1
257,281.3896,1,0,None,Left,1
258,282.0064,1,0,None,Up,2
259,282.2564,1,0,Defeat,None,-1
260,284.0229,1,0,Restart,None,-1
261,287.4396,1,0,None,Right,1
262,288.323,1,0,None,Up,1
263,288.773,1,0,None,Up,1
264,289.473,1,0,None,Left,1
265,289.723,1,0,None,Left,1
266,290.4064,1,0,None,Right,1
267,290.8229,1,0,None,Up,2
268,291.0897,1,0,Defeat,None,-1
269,292.4729,1,0,Restart,None,-1
270,293.9063,1,0,None,Right,1
271,294.1563,1,0,None,Right,1
272,294.4063,1,0,None,Right,0
273,294.6563,1,0,None,Right,0
274,294.9063,1,0,None,Up,1
275,297.4729,1,0,None,Left,1
276,297.9563,1,0,None,Right,1
277,298.3563,1,0,None,Down,1
278,298.6229,1,0,None,Down,1
279,298.873,1,0,None,Down,1
280,299.123,1,0,None,Down,1
281,299.3896,1,0,None,Down,1
282,299.6396,1,0,None,Down,1
283,300.2397,1,0,None,Up,1
284,300.8064,1,0,None,Right,1
285,301.0729,1,0,None,Right,1
286,301.3396,1,0,None,Right,1
287,301.6062,1,0,None,Right,1
288,301.9063,1,0,None,Up,1
289,302.7897,1,0,None,Right,1
290,303.4229,1,0,None,Left,1
291,303.9227,1,0,None,Up,0
292,304.4395,1,0,None,Right,1
293,305.1229,1,0,None,Up,1
294,305.7062,1,0,None,Left,0
295,305.9563,1,0,None,Left,0
296,306.5563,1,0,None,Right,1
297,307.0729,1,0,None,Up,1
298,307.3896,1,0,None,Up,1
299,308.173,1,0,None,Left,1
300,308.6563,1,0,None,Down,2
301,309.1396,1,0,None,Down,2
302,309.8562,1,0,None,Right,1
303,310.1062,1,0,None,Right,1
304,310.3563,1,0,None,Down,1
305,310.7396,1,0,None,Down,1
306,311.0896,1,0,None,Left,1
307,311.4063,1,0,None,Left,1
308,311.6897,1,0,None,Left,1
309,312.5729,1,0,None,Up,1
310,315.1063,1,0,None,Left,1
311,315.5396,1,0,None,Up,1
312,316.0229,1,0,None,Left,1
313,316.6895,1,0,None,Up,1
314,322.4063,1,0,None,Down,1
315,322.6729,1,0,None,Down,0
316,323.0062,1,0,None,Down,0
317,323.3396,1,0,None,Right,1
318,323.7562,1,0,None,Down,1
319,324.4063,1,0,None,Right,1
320,324.9063,1,0,None,Right,2
321,325.3397,1,0,None,Right,2
322,325.7896,1,0,None,Right,2
323,326.5896,1,0,None,Up,1
324,327.0396,1,0,None,Right,1
325,327.5729,1,0,None,Up,1
326,327.9229,1,0,None,Right,1
327,328.1896,1,0,None,Right,1
328,328.4896,1,0,None,Right,1
329,328.9395,1,0,None,Right,0
330,329.5562,1,0,None,Up,1
331,329.8228,1,0,None,Up,1
332,330.0896,1,0,None,Up,1
333,330.3896,1,0,None,Right,1
334,330.7228,1,0,None,Down,4
335,331.2395,1,0,None,Down,4
336,332.9229,1,0,None,Left,1
337,333.6395,1,0,None,Up,1
338,334.2062,1,0,None,Right,1
339,334.5395,1,0,None,Down,1
340,334.7896,1,0,None,Down,4
341,335.0396,1,0,None,Down,4
342,335.3062,1,0,None,Down,4
343,335.5562,1,0,None,Down,0
344,335.8062,1,0,None,Left,1
345,336.4896,1,0,None,Left,1
346,336.8229,1,0,None,Left,1
347,337.1229,1,0,None,Left,2
348,337.5562,1,0,None,Left,2
349,339.4562,1,0,None,Up,1
350,339.7062,1,0,None,Up,1
351,339.9562,1,0,None,Left,1
352,340.5063,1,0,None,Left,1
353,341.0228,1,0,None,Down,1
354,341.5395,1,0,None,Down,1
355,342.1062,1,0,None,Right,2
356,343.0396,1,0,None,Right,2
357,343.3062,1,0,None,Right,2
358,343.7229,1,0,None,Down,1
359,344.1562,1,0,None,Right,1
360,344.6062,1,0,None,Up,2
361,344.8562,1,0,None,Up,2
362,345.1228,1,0,None,Up,2
363,345.3729,1,0,None,Up,2
364,345.6229,1,0,None,Up,2
365,345.8729,1,0,None,Up,2
366,346.1395,1,0,None,Up,2
367,347.1562,1,0,None,Down,1
368,347.4395,1,0,None,Down,1
369,347.7895,1,0,None,Left,1
370,348.0895,1,0,None,Left,1
371,348.3729,1,0,None,Down,1
372,348.9062,1,0,None,Down,1
373,349.8062,1,0,None,Up,1
374,350.0562,1,0,None,Up,1
375,350.3228,1,0,None,Up,1
376,350.5894,1,0,None,Down,1
377,350.8727,1,0,None,Down,1
378,351.1228,1,0,None,Down,1
379,351.5061,1,0,None,Down,1
380,351.7562,1,0,None,Down,1
381,352.0228,1,0,None,Down,1
382,352.5895,1,0,None,Left,1
383,352.8395,1,0,None,Left,1
384,353.0895,1,0,None,Left,1
385,353.4561,1,0,None,Up,1
386,353.8395,1,0,None,Left,1
387,354.2062,1,0,None,Up,1
388,354.5895,1,0,None,Left,1
389,354.9562,1,0,None,Up,1
390,355.4395,1,0,None,Right,2
391,355.7562,1,0,None,Right,2
392,356.0562,1,0,None,Right,2
393,356.3396,1,0,None,Right,2
394,357.4896,1,0,None,Right,2
395,358.0728,1,0,None,Left,1
396,358.3562,1,0,None,Left,1
397,358.6228,1,0,None,Left,1
398,358.9728,1,0,None,Left,1
399,359.4562,1,0,None,Up,1
400,359.8895,1,0,None,Left,1
401,360.1895,1,0,None,Up,1
402,360.4395,1,0,None,Left,1
403,360.7061,1,0,None,Left,1
404,360.9728,1,0,None,Left,1
405,361.2229,1,0,None,Left,1
406,361.4894,1,0,None,Left,1
407,361.7896,1,0,None,Left,1
408,362.4061,1,0,None,Right,1
409,364.2728,1,0,None,Left,1
410,364.6894,1,0,None,Left,1
411,364.9895,1,0,None,Left,1
412,365.5562,1,0,None,Right,1
413,365.8561,1,0,None,Up,1
414,366.1062,1,0,None,Up,1
415,366.3728,1,0,None,Up,1
416,366.7896,1,0,None,Right,1
417,367.1728,1,0,None,Down,2
418,367.4395,1,0,Defeat,None,-1
419,369.4728,1,0,Restart,None,-1
420,370.7895,1,0,None,Left,1
421,371.3894,1,0,None,Right,1
422,371.6395,1,0,None,Right,1
423,371.9061,1,0,None,Up,1
424,372.3228,1,0,None,Up,1
425,372.7561,1,0,None,Left,1
426,373.0395,1,0,None,Up,2
427,373.3061,1,0,Defeat,None,-1
428,374.5061,1,0,Restart,None,-1
429,375.1396,1,0,None,Left,1
430,375.4395,1,0,None,Up,1
431,375.7061,1,0,None,Up,1
432,375.9561,1,0,None,Up,2
433,376.2061,1,0,Defeat,None,-1
434,377.1728,1,0,Restart,None,-1
435,379.7395,1,0,None,Right,1
436,380.2394,1,0,None,Down,1
437,380.5061,1,0,None,Down,1
438,380.7727,1,0,None,Down,1
439,381.0228,1,0,None,Down,1
440,381.2728,1,0,None,Right,1
441,381.5228,1,0,None,Right,1
442,381.7728,1,0,None,Right,1
443,382.0395,1,0,None,Right,1
444,382.306,1,0,None,Right,1
445,382.5728,1,0,None,Up,1
446,383.2727,1,0,None,Right,1
447,387.7727,1,0,None,Right,1
448,388.2227,1,0,None,Up,1
449,388.4727,1,0,None,Up,1
450,388.7227,1,0,None,Up,1
451,388.9727,1,0,None,Up,1
452,389.2227,1,0,None,Up,1
453,389.4728,1,0,None,Up,1
454,389.7394,1,0,None,Up,1
455,391.1561,1,0,None,Left,1
456,391.7561,1,0,None,Left,1
457,392.1227,1,0,None,Down,1
458,392.5061,1,0,None,Right,1
459,392.7561,1,0,None,Right,1
460,393.0061,1,0,None,Right,1
461,393.3395,1,0,None,Left,1
462,393.6894,1,0,None,Left,1
463,394.6394,1,0,None,Down,1
464,395.3061,1,0,None,Left,1
465,395.8894,1,0,None,Down,1
466,396.8561,1,0,None,Right,0
467,397.5394,1,0,None,Up,1
468,397.8393,1,0,None,Up,1
469,398.3895,1,0,None,Down,1
470,398.7394,1,0,None,Right,1
471,399.506,1,0,None,Right,1
472,399.8561,1,0,None,Down,1
473,400.1061,1,0,None,Down,1
474,400.4561,1,0,None,Down,1
475,401.156,1,0,None,Down,1
476,401.5061,1,0,None,Left,1
477,401.956,1,0,None,Up,2
478,402.9561,1,0,None,Right,1
479,403.3895,1,0,None,Up,1
480,403.6395,1,0,None,Up,1
481,403.8895,1,0,None,Left,0
482,405.0561,1,0,Redo,None,0
483,405.5227,1,0,Redo,None,0
484,405.8727,1,0,Redo,None,0
485,406.2227,1,0,Redo,None,0
486,407.156,1,0,Pause,None,-1
487,408.106,1,0,Restart,None,-1
488,410.1895,1,0,None,Up,1
489,410.606,1,0,None,Up,1
490,411.456,1,0,None,Left,1
491,411.706,1,0,None,Left,1
492,412.806,1,0,None,Left,1
493,413.2227,1,0,None,Up,1
494,413.556,1,0,None,Up,1
495,414.406,1,0,None,Right,1
496,414.6561,1,0,None,Right,1
497,415.6894,1,0,None,Down,2
498,415.956,1,0,Defeat,None,-1
499,417.5893,1,0,Undo,None,-1
500,419.1897,1,0,None,Right,1
501,419.4561,1,0,None,Right,1
502,419.7226,1,0,None,Right,1
503,419.9726,1,0,None,Right,1
504,420.2227,1,0,None,Right,1
505,420.4727,1,0,None,Down,1
506,421.2726,1,0,None,Up,1
507,421.5226,1,0,None,Up,1
508,421.7727,1,0,None,Up,1
509,422.306,1,0,None,Right,1
510,422.556,1,0,None,Right,1
511,422.8226,1,0,None,Right,1
512,423.0727,1,0,None,Right,1
513,423.3894,1,0,None,Down,1
514,423.6561,1,0,None,Down,1
515,424.3727,1,0,None,Right,1
516,424.6393,1,0,None,Right,1
517,424.8893,1,0,None,Right,1
518,425.1393,1,0,None,Right,1
519,425.3894,1,0,None,Right,1
520,425.6394,1,0,None,Right,1
521,425.8894,1,0,None,Right,0
522,426.1394,1,0,None,Right,0
523,426.406,1,0,None,Down,1
524,426.6727,1,0,None,Down,1
525,426.9227,1,0,None,Down,4
526,427.1894,1,0,None,Down,4
527,427.4394,1,0,None,Down,4
528,427.6894,1,0,None,Down,4
529,427.9394,1,0,None,Down,4
530,428.1894,1,0,None,Down,0
531,428.4394,1,0,None,Down,0
532,428.706,1,0,None,Down,0
533,429.0227,1,0,None,Left,1
534,429.2727,1,0,None,Left,1
535,429.5227,1,0,None,Down,1
536,429.7727,1,0,None,Down,1
537,430.0394,1,0,None,Down,1
538,430.2894,1,0,None,Down,0
539,430.556,1,0,None,Down,0
540,432.256,1,0,None,Down,0
541,432.506,1,0,None,Down,0
542,432.7727,1,0,None,Down,0
543,433.3727,1,0,None,Left,1
544,433.6227,1,0,None,Left,1
545,433.8727,1,0,None,Left,1
546,434.1394,1,0,None,Left,1
547,434.3894,1,0,None,Up,1
548,434.656,1,0,None,Up,1
549,434.906,1,0,None,Up,1
550,435.156,1,0,None,Up,1
551,435.406,1,0,None,Left,1
552,437.9393,1,0,None,Right,1
553,438.1894,1,0,None,Right,1
554,438.7393,1,0,None,Down,1
555,439.006,1,0,None,Down,1
556,439.256,1,0,None,Down,1
557,439.506,1,0,None,Down,1
558,439.7727,1,0,None,Left,1
559,440.0227,1,0,None,Left,1
560,440.2894,1,0,None,Left,1
561,440.5394,1,0,None,Left,1
562,440.806,1,0,None,Left,1
563,441.056,1,0,None,Left,1
564,441.3227,1,0,None,Left,1
565,441.5894,1,0,None,Left,1
566,441.856,1,0,None,Left,1
567,442.106,1,0,None,Left,1
568,443.1726,1,0,Pause,None,-1
569,444.756,1,0,Stop,None,-1
570,451.256,1,0,Start,None,-1
571,453.1227,1,0,None,Up,1
572,454.0226,1,0,None,Right,1
573,454.2726,1,0,None,Right,1
574,455.3393,1,0,None,Right,1
575,455.606,1,0,None,Right,1
576,455.8726,1,0,None,Up,0
577,458.156,1,0,None,Down,1
578,458.656,1,0,None,Down,1
579,459.256,1,0,None,Right,2
580,460.2059,1,0,None,Right,3
581,460.6725,1,0,None,Right,3
582,461.0226,1,0,None,Right,3
583,461.2892,1,0,None,Right,3
584,461.9058,1,0,None,Right,3
585,462.456,1,0,None,Right,3
586,463.1725,1,0,None,Up,1
587,463.6226,1,0,None,Up,1
588,464.0225,1,0,None,Right,1
589,464.4559,1,0,None,Right,1
590,464.9725,1,0,None,Down,1
591,465.2726,1,0,None,Down,2
592,465.5559,1,0,None,Down,2
593,466.0226,1,0,None,Down,2
594,466.4059,1,0,None,Left,1
595,466.7726,1,0,None,Up,1
596,467.0226,1,0,None,Up,2
597,467.2726,1,0,None,Up,2
598,467.8726,1,0,None,Right,1
599,468.3726,1,0,None,Up,1
600,468.8226,1,0,None,Left,2
601,469.9391,1,0,None,Left,2
602,471.1391,1,0,None,Left,2
603,471.6891,1,0,None,Left,2
604,472.3058,1,0,None,Up,1
605,473.3392,1,0,None,Right,1
606,473.6058,1,0,None,Right,1
607,473.8725,1,0,None,Right,1
608,474.1225,1,0,None,Right,1
609,475.1892,1,0,None,Right,1
610,479.2058,1,0,None,Down,4
611,479.4725,1,0,None,Down,4
612,479.9059,1,0,None,Down,4
613,480.4059,1,0,None,Down,4
614,481.7725,1,0,None,Left,1
615,482.8058,1,0,None,Right,1
616,483.0558,1,0,None,Right,0
617,483.4725,1,0,None,Down,4
618,484.9391,1,0,None,Left,1
619,485.5225,1,0,None,Left,1
620,485.9557,1,0,None,Down,1
621,486.2058,1,0,None,Down,1
622,486.4559,1,0,None,Down,1
623,486.9559,1,0,None,Right,1
624,487.3725,1,0,None,Up,1
625,488.2224,1,0,None,Up,2
626,488.5558,1,0,None,Up,2
627,488.8391,1,0,None,Up,2
628,489.1059,1,0,None,Up,2
629,489.4059,1,0,None,Up,2
630,489.7891,1,0,None,Up,2
631,490.0891,1,0,None,Up,2
632,490.6058,1,0,None,Up,2
633,491.0059,1,0,None,Left,1
634,491.2559,1,0,None,Left,1
635,491.5059,1,0,None,Left,1
636,491.7559,1,0,None,Left,1
637,492.2558,1,0,None,Right,1
638,492.5058,1,0,None,Right,1
639,492.7558,1,0,None,Right,1
640,493.0058,1,0,None,Right,1
641,493.2558,1,0,None,Right,1
642,493.5058,1,0,None,Up,1
643,493.9059,1,0,None,Left,2
644,494.1724,1,0,None,Left,2
645,494.4225,1,0,None,Left,2
646,494.6725,1,0,None,Left,2
647,494.9391,1,0,None,Left,2
648,495.1891,1,0,None,Left,2
649,495.4557,1,0,None,Left,2
650,495.7057,1,0,None,Left,2
651,495.9558,1,0,None,Left,2
652,496.2224,1,0,None,Left,2
653,496.4724,1,0,None,Left,2
654,496.8558,1,0,None,Left,2
655,497.1891,1,0,None,Left,2
656,497.6725,1,0,None,Left,2
657,499.0059,1,0,None,Left,2
658,499.5057,1,0,None,Left,2
659,500.7224,1,0,None,Left,2
660,501.1724,1,0,None,Left,2
661,501.7391,1,0,None,Up,1
662,502.1058,1,0,None,Up,1
663,502.5391,1,0,None,Left,1
664,503.1725,1,0,None,Down,1
665,503.4891,1,0,None,Down,2
666,503.8058,1,0,None,Down,2
667,504.2558,1,0,None,Down,2
668,504.6058,1,0,None,Left,1
669,504.8558,1,0,None,Left,1
670,505.1058,1,0,None,Down,1
671,505.6057,1,0,None,Right,1
672,505.8558,1,0,None,Right,2
673,506.1058,1,0,None,Right,2
674,506.3558,1,0,None,Right,2
675,506.6391,1,0,None,Right,2
676,507.1224,1,0,None,Up,1
677,507.6058,1,0,None,Down,1
678,507.8558,1,0,None,Down,1
679,508.1224,1,0,None,Right,1
680,508.4901,1,0,None,Up,2
681,509.3392,1,0,None,Right,1
682,509.5892,1,0,None,Right,1
683,509.8394,1,0,None,Right,1
684,510.1059,1,0,None,Right,1
685,510.3559,1,0,None,Right,1
686,510.606,1,0,None,Right,0
687,510.8726,1,0,None,Right,0
688,511.1392,1,0,None,Right,0
689,511.4061,1,0,None,Down,1
690,511.6725,1,0,None,Down,1
691,511.9225,1,0,None,Right,1
692,512.1726,1,0,None,Right,1
693,512.4392,1,0,None,Right,1
694,512.6892,1,0,None,Right,1
695,512.9559,1,0,None,Right,1
696,513.2225,1,0,None,Up,1
697,513.4725,1,0,None,Up,1
698,513.7225,1,0,None,Up,1
699,514.306,1,0,None,Down,1
700,514.5725,1,0,None,Down,1
701,515.1558,1,0,None,Left,1
702,515.5225,1,0,None,Up,2
703,515.8057,1,0,None,Up,2
704,516.0558,1,0,None,Up,2
705,516.8224,1,0,None,Right,1
706,517.0724,1,0,None,Right,1
707,517.3224,1,0,None,Up,1
708,517.9891,1,0,None,Left,1
709,518.2391,1,0,None,Left,2
710,518.5057,1,0,None,Left,2
711,518.7557,1,0,None,Left,2
712,519.0058,1,0,None,Left,2
713,519.2558,1,0,None,Left,2
714,519.5058,1,0,None,Left,2
715,519.7724,1,0,None,Left,2
716,520.0558,1,0,None,Left,2
717,520.3891,1,0,None,Left,2
718,521.1891,1,0,None,Right,1
719,521.4391,1,0,None,Right,1
720,521.6891,1,0,None,Right,1
721,521.9557,1,0,None,Right,1
722,522.2057,1,0,None,Right,1
723,522.4557,1,0,None,Right,1
724,523.0058,1,0,None,Down,1
725,523.4058,1,0,None,Right,1
726,523.4224,1,0,Success,None,-1
727,525.8891,1,1,Start,None,-1
728,532.7557,1,1,None,Up,1
729,533.4058,1,1,None,Left,1
730,533.6724,1,1,None,Left,1
731,535.5724,1,1,None,Left,2
732,535.8224,1,1,None,Left,2
733,536.5392,1,1,None,Left,2
734,537.1392,1,1,None,Left,2
735,537.3892,1,1,None,Left,3
736,541.8391,1,1,None,Up,56
737,542.0891,1,1,None,Up,59
738,543.4058,1,1,None,Down,56
739,545.9392,1,1,None,Down,56
740,546.7891,1,1,None,Down,57
741,547.5058,1,1,None,Down,56
742,548.2224,1,1,None,Down,54
743,548.4725,1,1,None,Down,53
744,549.6558,1,1,None,Down,47
745,551.7558,1,1,None,Up,57
746,552.6391,1,1,None,Up,57
747,553.5392,1,1,None,Down,57
748,555.3891,1,1,None,Up,57
749,556.2224,1,1,None,Up,58
750,556.9391,1,1,None,Up,58
751,558.0391,1,1,None,Up,58
752,559.489,1,1,None,Up,58
753,561.8391,1,1,None,Up,60
754,562.9391,1,1,None,Up,52
755,563.5392,1,1,None,Up,50
756,564.139,1,1,None,Up,48
757,565.0224,1,1,None,Up,46
758,565.5224,1,1,None,Up,40
759,565.8391,1,1,None,Up,38
760,566.1057,1,1,None,Up,36
761,566.6058,1,1,None,Up,27
762,567.0057,1,1,None,Up,17
763,567.2724,1,1,None,Up,14
764,567.5224,1,1,None,Up,0
765,567.9058,1,1,None,Up,0
766,568.3224,1,1,None,Down,57
767,568.5724,1,1,None,Down,57
768,568.8224,1,1,None,Down,57
769,569.0724,1,1,None,Down,57
770,569.3224,1,1,None,Down,57
771,569.5724,1,1,None,Down,57
772,569.8224,1,1,None,Down,57
773,570.0724,1,1,None,Down,57
774,570.3224,1,1,None,Down,57
775,570.6391,1,1,None,Down,57
